2015,08,07, 0SK, 15, TSM, 19, cobblestone, 30, 21, 1.32 
2015,08,07, CLG, 07, TSM, 16, inferno, 16, 11, 1.23 
2015,08,06, mousesports, 08, TSM, 16, dust2, 19, 11, 1.35 
2015,08,06, CLG, 12, TSM, 16, train, 21, 21, 1.00 
2015,08,05, TSM, 16, Renegades, 06, mirage, 13, 10, 1.15 
2015,08,05, EnVyUs, 16, TSM, 11, cobblestone, 21, 22, 0.97 
2015,07,31, TSM, 14, HellRaisers, 16, mirage, 21, 19, 0.98 
2015,07,31, TSM, 10, HellRaisers, 16, dust2, 15, 21, 0.75 
2015,07,30, TSM, 08, E-frag.net, 16, overpass, 15, 18, 0.80 
2015,07,30, TSM, 12, E-frag.net, 16, mirage, 28, 22, 1.35 
2015,07,30, E-frag.net, 04, TSM, 16, inferno, 12, 15, 0.88 
2015,07,18, TSM, 16, Cloud9, 02, mirage, 17, 06, 1.46 
2015,07,18, TSM, 16, Cloud9, 14, cache, 19, 18, 0.97 
2015,07,18, TSM, 16, NatusVincere, 05, dust2, 25, 09, 1.85 
2015,07,18, TSM, 16, NatusVincere, 05, train, 16, 09, 1.32 
2015,07,18, NatusVincere, 16, TSM, 06, mirage, 16, 21, 0.78 
2015,07,16, TSM, 16, fnatic, 10, overpass, 22, 14, 1.33 
2015,07,16, TSM, 16, NiP, 13, mirage, 29, 19, 1.48 
2015,07,02, fnatic, 16, TSM, 14, overpass, 35, 23, 1.76 
2015,07,02, TSM, 12, KeydStars, 16, inferno, 18, 21, 0.99 
2015,06,30, TSM, 16, NiP, 05, cache, 10, 13, 0.76 
2015,06,30, TSM, 16, Titan, 03, mirage, 18, 06, 1.59 
2015,06,30, TSM, 12, FlipSid3, 16, overpass, 19, 18, 1.02 
2015,06,29, TSM, 03, fnatic, 16, cache, 12, 18, 1.09 
2015,06,29, TSM, 16, EnVyUs, 13, inferno, 14, 15, 0.86 
2015,06,29, TSM, 14, NatusVincere, 16, mirage, 24, 23, 1.07 
2015,06,29, NatusVincere, 06, TSM, 16, overpass, 22, 12, 1.36 
2015,06,24, TSM, 16, GPlay, 02, mirage, 16, 09, 1.25 
2015,06,24, TSM, 16, GPlay, 13, inferno, 18, 20, 0.81 
2015,06,24, Titan, 16, TSM, 14, dust2, 19, 20, 0.92 
2015,06,21, mousesports, 05, TSM, 16, overpass, 12, 11, 0.85 
2015,06,21, TSM, 14, mousesports, 16, cache, 20, 22, 0.93 
2015,06,16, EnVyUs, 16, TSM, 13, dust2, 21, 21, 1.01 
2015,06,16, HellRaisers, 07, TSM, 16, overpass, 19, 13, 1.32 
2015,06,16, TSM, 16, HellRaisers, 02, train, 15, 06, 1.37 
2015,06,15, TSM, 16, HellRaisers, 12, cobblestone, 23, 17, 1.38 
2015,06,10, TSM, 19, HellRaisers, 16, mirage, 23, 26, 0.96 
2015,06,10, Virtus.pro, 10, TSM, 16, overpass, 17, 16, 0.93 
2015,06,10, TSM, 16, NiP, 07, mirage, 19, 13, 1.20 
2015,06,09, NiP, 04, TSM, 16, cache, 13, 11, 1.03 
2015,06,09, PENTA, 02, TSM, 16, overpass, 18, 06, 1.64 
2015,06,09, TSM, 16, PENTA, 06, train, 26, 11, 1.84 
2015,06,08, TSM, 16, FlipSid3, 10, train, 28, 15, 1.58 
2015,06,08, Titan, 14, TSM, 16, mirage, 29, 19, 1.49 
2015,06,08, Titan, 16, TSM, 11, dust2, 12, 21, 0.57 
2015,06,07, fnatic, 07, TSM, 16, dust2, 23, 11, 1.56 
2015,06,07, TSM, 16, fnatic, 11, inferno, 20, 16, 1.06 
2015,06,07, fnatic, 16, TSM, 07, mirage, 14, 20, 0.69 
2015,06,07, fnatic, 05, TSM, 16, cobblestone, 16, 10, 1.15 
2015,06,07, TSM, 19, NatusVincere, 17, inferno, 20, 27, 0.83 
2015,06,07, NatusVincere, 17, TSM, 19, overpass, 25, 24, 1.00 
