2015,07,22, NatusVincere, 16, dignitas, 10, overpass, 18, 14, 1.13 
2015,07,18, TSM, 16, NatusVincere, 05, dust2, 08, 21, 0.40 
2015,07,18, TSM, 16, NatusVincere, 05, train, 12, 20, 0.63 
2015,07,18, NatusVincere, 16, TSM, 06, mirage, 22, 11, 1.53 
2015,07,17, Kinguin, 06, NatusVincere, 16, overpass, 22, 14, 1.40 
2015,07,17, NatusVincere, 11, Kinguin, 16, inferno, 33, 18, 1.79 
2015,07,17, Kinguin, 09, NatusVincere, 16, dust2, 23, 11, 1.39 
2015,07,16, NatusVincere, 14, Cloud9, 16, cobblestone, 18, 22, 0.82 
2015,07,16, Virtus.pro, 12, NatusVincere, 16, overpass, 34, 16, 1.78 
2015,07,12, NatusVincere, 16, Cloud9, 14, overpass, 21, 16, 1.13 
2015,07,12, NatusVincere, 14, Cloud9, 16, dust2, 19, 18, 1.13 
2015,07,12, NatusVincere, 16, Cloud9, 03, inferno, 19, 08, 1.58 
2015,07,12, NatusVincere, 16, FlipSid3, 01, inferno, 15, 06, 1.57 
2015,07,12, FlipSid3, 09, NatusVincere, 16, mirage, 14, 17, 0.85 
2015,07,12, Renegades, 05, NatusVincere, 16, train, 18, 11, 1.33 
2015,07,12, NatusVincere, 16, Renegades, 08, overpass, 23, 13, 1.46 
2015,07,11, NatusVincere, 16, Luminosity, 07, inferno, 22, 11, 1.55 
2015,07,11, NatusVincere, 16, Titan, 02, mirage, 13, 09, 1.08 
2015,07,10, 0SK, 08, NatusVincere, 16, overpass, 18, 16, 1.14 
2015,07,05, 1337, 02, NatusVincere, 16, mirage, 11, 08, 1.03 
2015,07,05, NatusVincere, 16, 1337, 11, inferno, 25, 16, 1.33 
2015,07,02, NiP, 16, NatusVincere, 08, train, 07, 21, 0.35 
2015,07,02, NatusVincere, 07, NiP, 16, mirage, 07, 20, 0.41 
2015,07,02, Titan, 16, NatusVincere, 10, cobblestone, 14, 24, 0.65 
2015,06,30, NatusVincere, 16, Titan, 03, cobblestone, 28, 06, 2.40 
2015,06,30, EnVyUs, 16, NatusVincere, 09, dust2, 14, 20, 0.72 
2015,06,30, Kinguin, 16, NatusVincere, 10, overpass, 13, 22, 0.59 
2015,06,30, Kinguin, 16, NatusVincere, 12, dust2, 12, 20, 0.63 
2015,06,29, TSM, 14, NatusVincere, 16, mirage, 21, 19, 1.06 
2015,06,29, NatusVincere, 06, TSM, 16, overpass, 16, 18, 0.91 
2015,06,25, NatusVincere, 16, Publiclir.se, 11, mirage, 22, 18, 1.11 
2015,06,25, Publiclir.se, 13, NatusVincere, 16, cobblestone, 24, 19, 1.23 
2015,06,25, PENTA, 10, NatusVincere, 16, overpass, 23, 16, 1.39 
2015,06,25, NatusVincere, 16, PENTA, 07, mirage, 16, 16, 0.88 
2015,06,24, Titan, 25, NatusVincere, 23, overpass, 33, 38, 0.89 
2015,06,24, EnVyUs, 15, NatusVincere, 21, cobblestone, 31, 25, 1.18 
